"ISO3166A3";"region";"mena"
"ISR";"Western Asia";"Middle-East"
"PSE";"Western Asia";"Middle-East"
"MRT";"Western Africa";"North Africa"
"ESH";"Northern Africa";"North Africa"
"MAR";"Northern Africa";"North Africa"
"DZA";"Northern Africa";"North Africa"
"TUN";"Northern Africa";"North Africa"
"LBY";"Northern Africa";"North Africa"
"EGY";"Northern Africa";"North Africa"
"LBN";"Western Asia";"Middle-East"
"SYR";"Western Asia";"Middle-East"
"IRQ";"Western Asia";"Middle-East"
"JOR";"Western Asia";"Middle-East"
"TUR";"Western Asia";"Middle-East"
"YEM";"Western Asia";"Gulf"
"SAU";"Western Asia";"Gulf"
"QAT";"Western Asia";"Gulf"
"KWT";"Western Asia";"Gulf"
"BHR";"Western Asia";"Gulf"
"OMN";"Western Asia";"Gulf"
"ARE";"Western Asia";"Gulf"
